tag,Temp_amb,Transparencia,Temp_agua,Oxidacion,Conductividad,pH,Sulfuros,pH_CEA,OD,Hierro,DQO,DBO,Colif_Fecales,Colif_Totales,SST,Alc_Total,Cl-Total,Conductividad,Dureza,Fl,P_Total,Nitratos,Nitritos,N_total,SDT,SS,Solidos_Totales,Sulfatos,Al,As,Ba,Cu,Mn,Pb,Na,Zn,Turbiedad,Año,Mes,Est
03-ago-16,23,0.3,25.38,1.4,0.758,7.06,3.85,8.87,6.38,0.059,92.88,14.88,46000,110000,25,363.04,60.79,857,170,0.65,1.2,0.1,0.022,8.51,629,0.1,621,10,0.01,0.0025,0.0162,0.05,0.085,0.0025,109.8,0.02,37,16,8,3
04-ago-16,24,0.3,24.66,2.7,0.762,7.25,1.01,8.75,2.53,0.109,96.49,23.28,2400,4600,17,370.19,60.88,864,175.6,0.59,1.29,0.1,0.022,7.79,609,0.1,626,10,0.0704,0.0025,0.016,0.05,0.109,0.0025,108.5,0.02,27,16,8,4
05-ago-16,25,0.3,24.94,3.8,0.76,7.1,1.01,8.84,4.91,0.05,108.22,12.99,240000,865,18,373.57,61.11,865,171.8,0.72,1.24,0.1,0.022,8.39,592,0.1,610,10,0.01,0.0025,0.0186,0.05,0.095,0.0025,109.1,0.02,27,16,8,5
01-sep-16,26,0.17,25.98,9.65,0.752,7.7,4.81,8.99,7.46,0.096,170.99,15.93,46000,46000,19,370.26,59.62,790,178.36,0.78,1.5,0.1,0.022,7.85,604,0.1,623,10,0.01,0.0025,0.0088,0.05,0.123,0.0025,102.3,0.02,55,16,9,1
02-sep-16,23.5,0.15,25.63,4.75,0.738,7.56,4.25,9.17,13.57,0.127,182.73,20.31,4600,4600,27,377.87,61.58,814,161.31,0.88,1.34,0.1,0.068,7.8,615,0.1,642,10,0.01,0.0025,0.0107,0.05,0.064,0.0025,103.5,0.02,55,16,9,2
03-sep-16,24,0.15,25.67,7.78,0.744,7.66,4.79,9.22,16.09,0.05,201.32,17.01,3,40,45,369.64,60.93,807,161.5,0.73,1.35,0.1,0.022,7.73,591,0.1,636,10,0.01,0.0025,0.0105,0.05,0.052,0.0025,105.6,0.02,55,16,9,3
04-sep-16,25,0.15,24.24,5.5,0.755,7.69,4.51,9.12,12.36,0.059,294.88,23.76,930,2400,44,381.16,60.74,808,161.7,0.7,1.42,0.1,0.022,8.03,624,0.1,668,10,0.01,0.0025,0.0097,0.05,0.091,0.0025,104.7,0.02,55,16,9,4
05-sep-16,29,0.2,25,9.43,0.748,7.7,4.67,9.09,10.1,0.079,162.12,14.88,430,430,40,376.22,60.6,811,160.52,0.75,1.25,0.1,0.063,7.55,592,0.1,632,10,0.01,0.0025,0.0084,0.05,0.064,0.0025,105.2,0.02,50,16,9,5
01-oct-16,22,0.15,22.7,1.26,0.703,7.77,4.01,9.21,9.98,0.111,163.27,48.84,4300,4300,47,339.89,57.51,768,148.29,0.59,1.4,0.1,0.022,6.9,539,0.1,586,10,0.3047,0.0025,0.0075,0.05,0.066,0.0025,89.4,0.02,55,16,10,1
02-oct-16,20,0.15,24.02,8.35,0.681,7.52,4.15,9.1,4.84,0.08,218.49,27.6,230,430,45,339.89,57.51,768,149.29,0.54,1.35,0.1,0.022,6.33,554,0.1,599,10,0.2794,0.0025,0.0063,0.05,0.074,0.0025,88.5,0.02,620,16,10,2
03-oct-16,21,0.15,25.58,6.26,0.692,7.54,3.69,9.25,11.74,0.076,159.26,36.6,150,930,65,331.36,57.59,768,150.48,0.64,1.32,0.1,0.022,7.52,540,0.1,605,10,0.3201,0.0025,0.0054,0.05,0.059,0.0025,87.9,0.07,75,16,10,3
04-oct-16,21,0.15,22.11,5.4,0.698,7.68,3.45,9.17,8.37,0.069,153.83,35.34,90,230,41,333.14,57.11,771,148.89,0.91,1.32,0.1,0.022,7.52,576,0.1,617,10,0.1804,0.0025,0.0052,0.05,0.063,0.0025,88.6,0.02,55,16,10,4
05-oct-16,22,0.15,23,7.77,0.698,7.8,3.23,9.13,7.44,0.122,156.97,33.84,2400,2400,55,342.86,56.69,779,152.07,0.63,1.41,0.1,0.022,7.35,541,0.1,596,10,0.2794,0.0025,0.005,0.05,0.063,0.0025,89.2,0.055,65,16,10,5
01-nov-16,29,0.15,20.27,7.29,0.7,7.8,,8.85,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,11,1
