"idPuntoMuestreo","idParametro","unidad","valor","fecha","est_fijas"
"LC-05","Alcalinidad total","mg CaCOmg/l/l",343.7,2009-09-02,TRUE
"LC-05","Cloruros totales","mg/l",54.94,2009-09-02,TRUE
"LC-05","Dureza total","mg CaCOmg/l/l",119.8,2009-09-02,TRUE
"LC-05","Fluoruros","mg/l",0.72,2009-09-02,TRUE
"LC-05","Nitrógeno de nitratos","mg/l",0.1,2009-09-02,TRUE
"LC-05","Nitrógeno de nitritos","mg/l",0.022,2009-09-02,TRUE
"LC-05","Nitrógeno amoniacal","mg/l",0.59,2009-09-02,TRUE
"LC-05","Nitrógeno total Kjeldahl","mg/l",4.15,2009-09-02,TRUE
"LC-05","Sulfatos","mg/l",9.11,2009-09-02,TRUE
"LC-05","SAAM","mg/l",0.207,2009-09-02,TRUE
"LC-05","DBO Turbiedad","mg/l",13.05,2009-09-02,TRUE
"LC-05","DQO","mg/l",114.39,2009-09-02,TRUE
"LC-05","Grasas y aceites","mg/l",7.79,2009-09-02,TRUE
"LC-05","Fósforo total","mg/l",0.352,2009-09-02,TRUE
"LC-05","SST","mg/l",7,2009-09-02,TRUE
"LC-05","Sólidos disueltos tot.","mg/l",518,2009-09-02,TRUE
"LC-05","Sólidos sedimentables","ml/l",0.1,2009-09-02,TRUE
"LC-05","Sulfuros","mg/l",0.198,2009-09-02,TRUE
"LC-05","Aluminio","mg/l",0.01,2009-09-02,TRUE
"LC-05","Arsénico","mg/l",0.0025,2009-09-02,TRUE
"LC-05","Bario","mg/l",0.005,2009-09-02,TRUE
"LC-05","Cadmio","mg/l",5e-04,2009-09-02,TRUE
"LC-05","Cobre","mg/l",0.05,2009-09-02,TRUE
"LC-05","Cromo","mg/l",0.05,2009-09-02,TRUE
"LC-05","Fierro","mg/l",730,2009-09-02,TRUE
"LC-05","Manganeso","mg/l",,2009-09-02,TRUE
"LC-05","Mercurio","mg/l",60000,2009-09-02,TRUE
"LC-05","Níquel","mg/l",0.1,2009-09-02,TRUE
"LC-05","Plomo","mg/l",0.0025,2009-09-02,TRUE
"LC-05","Sodio","mg/l",,2009-09-02,TRUE
"LC-05","Zinc","mg/l",0.02,2009-09-02,TRUE
"LC-05","Coliformes totales","NMP/mg/l0ml",3,2009-09-02,TRUE
"LC-05","Coliformes fecales","NMP/mg/l0ml",3,2009-09-02,TRUE
"LC-05","Profundidad","m",3.15,2009-09-02,TRUE
"LC-05","Temp. ambiente","°C",,2009-09-02,TRUE
"LC-05","Transparencia Secchi","m",,2009-09-02,TRUE
"LC-05","Sólidos totales",,525,2009-09-02,TRUE
"LC-05","Nitrógeno total",,4.15,2009-09-02,TRUE
"LC-05","Clorofilas","mg/l",,2009-09-02,TRUE
"23","Temperatura","°C",25.8,2009-09-02,FALSE
"23","pH",,8.88,2009-09-02,FALSE
"23","Oxígeno disuelto","mg/l",14.8,2009-09-02,FALSE
"23","Conductividad","µS/cm",619,2009-09-02,FALSE
"23","Turbiedad","UNT",31.4,2009-09-02,FALSE
"23","Alcalinidad total","mg CaCOmg/l/l",366.6,2009-09-02,FALSE
"23","Cloruros totales","mg/l",54.06,2009-09-02,FALSE
"23","Dureza total","mg CaCOmg/l/l",117.84,2009-09-02,FALSE
"23","Fluoruros","mg/l",0.71,2009-09-02,FALSE
"23","Nitrógeno de nitratos","mg/l",0.1,2009-09-02,FALSE
"23","Nitrógeno de nitritos","mg/l",0.022,2009-09-02,FALSE
"23","Nitrógeno amoniacal","mg/l",0.59,2009-09-02,FALSE
"23","Nitrógeno total Kjeldahl","mg/l",7.72,2009-09-02,FALSE
"23","Sulfatos","mg/l",9.06,2009-09-02,FALSE
"23","SAAM","mg/l",0.19,2009-09-02,FALSE
"23","DBO Turbiedad","mg/l",18.69,2009-09-02,FALSE
"23","DQO","mg/l",114.39,2009-09-02,FALSE
"23","Grasas y aceites","mg/l",9.21,2009-09-02,FALSE
"23","Fósforo total","mg/l",322,2009-09-02,FALSE
"23","SST","mg/l",14,2009-09-02,FALSE
"23","Sólidos disueltos tot.","mg/l",506,2009-09-02,FALSE
"23","Sólidos sedimentables","ml/l",0.1,2009-09-02,FALSE
"23","Sulfuros","mg/l",0.1,2009-09-02,FALSE
"23","Aluminio","mg/l",0.01,2009-09-02,FALSE
"23","Arsénico","mg/l",0.0025,2009-09-02,FALSE
"23","Bario","mg/l",0.005,2009-09-02,FALSE
"23","Cadmio","mg/l",5e-04,2009-09-02,FALSE
