"Temperatura","pH","Oxígeno disuelto","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno total Kjeldahl","DBO","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Sólidos totales","Nitrógeno total","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno amoniacal","Sulfatos","SAAM","Sulfuros","Temp. ambiente","Acidez total","Dureza de calcio","fecha","año","mes","est"
22,7.38,0.39,0.1,0.022,4.34,13.02,54.18,8.27,0.39,28,268,0.1,0.841,0.0025,0.005,0.0005,0.05,0.05,0.773,0.194,0.0005,0.1,0.0025,22.1,0.074,2400000,2400000,296,4.34,420,13.8,183.2,16.46,38.2,0.41,0.54,39.09,0.67,0.1,25,,,2009-06-30,"2009","6","RZ-01"
25,7.05,,0.1,0.022,7.75,34.4,93.96,10.66,0.81,38,345,0.1,0.258,0.0071,0.005,0.0005,0.05,0.05,0.651,1.193,0.0006,0.1,0.0025,32.3,0.02,4300,4300,383,7.75,528,17.3,229.11,39.32,71.04,0.26,3.26,17.43,0.22,0.51,22,,,2009-07-29,"2009","7","RS-01"
21,7,0.39,0.1,0.022,5.36,4.09,49.11,11.51,1.39,5,450,0.1,0.01,0.0118,0.005,0.0005,0.05,0.05,0.448,0.406,0.0005,0.1,0.0025,45.6,0.02,24000,24000,455,5.36,688,7.4,229.11,50.3,111,0.38,1.63,56.76,0.14,4.5,25,,,2009-07-29,"2009","7","RS-02"
22,6.94,,0.1,0.022,2.98,5.37,59.92,8.52,2.05,12,490,0.1,0.01,0.0118,0.005,0.0005,0.05,0.05,0.196,1.063,0.0005,0.1,0.0025,62,0.02,4300,4300,502,2.98,773,4.26,229.11,54.87,111,0.46,1.08,75.98,0.19,4.3,24,,,2009-07-29,"2009","7","RS-03"
26,7.52,,0.1,0.022,14.3,24.12,92.36,11.93,2.16,42,502,0.1,1.545,0.01,0.005,0.041,0.05,0.05,0.754,1.13,0.0007,0.1,0.0025,64.2,0.089,1100000,1100000,544,14.3,836,27,274.93,59.44,111,0.68,5.97,62.79,3.3,0.12,26,,,2009-07-29,"2009","7","RS-04"
25,7.59,0.39,0.1,0.0164,13.58,13.26,69.53,8.81,2.62,9,598,0.1,0.272,0.0111,0.005,0.0005,0.05,0.05,0.289,1.113,0.0008,0.1,0.0025,80.9,0.02,110000,110000,607,13.5964,998,9.76,366.57,63.1,119.88,0.89,4.34,70.33,0.63,0.52,28,,,2009-07-29,"2009","7","RS-05"
28,8.22,5.11,3.28,1.21,5.97,12.54,67.53,4.97,3.7,12,599,0.1,0.5,0.0109,0.005,0.0018,0.05,0.05,0.404,0.842,0.0007,0.1,0.0025,77.4,0.089,46000,46000,611,10.46,934,11.6,366.57,59.44,124.32,0.88,2.17,70.38,0.32,0.1,30,,,2009-07-29,"2009","7","RS-06"
25,7.52,1.37,0.1,0.022,19.56,83.2,180.86,21.17,2.89,97,668,0.1,0.976,0.0167,0.005,2.705,0.232,0.06,0.835,0.362,0.0009,0.1,0.0025,98.1,4.515,460000,460000,765,19.56,1100,62.9,274.93,96.03,133.2,0.83,4.89,102.86,6.35,0.1,20,,,2009-07-29,"2009","7","RS-07"
27,7.76,3.54,1.48,0.7075,9.23,18.37,49.5,12.14,1.97,88,512,0.5,2.953,0.0116,0.005,0.008,0.05,0.05,2.106,0.124,0.0009,0.1,0.0025,69.5,0.092,240000,240000,600,11.4175,840,31.5,229.11,59.44,97.68,1.03,3.8,65.43,0.094,0.1,22,,,2009-07-29,"2009","7","RS-08"
29,7.42,2.55,0.1,0.0272,10.32,9.48,49.5,13.7,1.25,18,489,0.1,1.878,0.0121,0.005,0.0113,0.05,0.05,1.774,0.51,0.0007,0.1,0.0025,56.9,0.059,23000,23000,507,10.3472,746,22.2,183.28,53.96,88.8,0.19,4.34,66.24,0.43,0.1,25,,,2009-07-29,"2009","7","RS-09"
32,7.79,5.7,3.15,0.7075,6.56,37.68,128.8,20.21,1.65,181,582,0.6,8.814,0.0175,0.005,0.0068,0.05,0.05,10.085,0.708,0.0009,0.1,0.0185,51,0.082,43000,43000,763,10.4175,655,160,137.46,48.47,93.24,0.66,3.26,60.15,0.019,0.1,31,,,2009-07-29,"2009","7","RS-10"
23,7.34,,0.25,0.0136,18.47,47.16,156.84,18.75,2.86,98,547,0.1,4.344,0.0086,0.005,0.003,0.05,0.05,7.285,1.338,0.0008,0.1,0.0025,62.3,0.825,2400000,2400000,645,18.7336,921,70.4,229.11,57.62,128.76,0.72,9.23,86.81,7.31,0.1,21,,,2009-07-29,"2009","7","AA-01"
25,7.5,0.78,0.1,0.022,13.71,22.68,98.76,8.99,1.98,183,477,1,1.817,0.0092,0.005,0.0005,0.05,0.05,1.03,1.136,0.0007,0.1,0.0025,58.9,0.02,1100000,1100000,660,13.71,781,68.8,229.11,52.13,104.34,0.72,7.6,56.7,2.18,0.72,26,,,2009-07-29,"2009","7","AA-02"
25,6.92,,0.1,0.022,3.58,51.72,115.59,11.25,0.95,49,344,0.4,0.333,0.0072,0.005,0.0005,0.05,0.05,0.657,1.009,0.0008,0.1,0.0025,32.1,0.02,9000,9000,393,3.58,528,18.8,229.11,37.49,79.92,0.18,1.63,21.61,0.53,2.11,22,,,2009-07-29,"2009","7","RZ-01"
26,8.13,,0.27,0.022,9.54,37.8,169.65,12.73,1.94,66,396,0.2,0.644,0.0062,0.13,0.0005,0.05,0.05,1.332,0.902,0.0005,0.1,0.0025,42.6,0.059,1100000,460000,462,9.81,659,35.3,229.11,31.02,131.44,0.34,5.37,12.72,0.572,8.16,30,1.71,,2009-08-12,"2009","8","RS-01"
